-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 10:53:00+00|1012.50|54.00|KFRG|0.00|Fair|350.00|North|8.10|-4.00||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 12:53:00+00|1013.60|52.00|KFRG|0.60|Fair|360.00|North|10.40|-4.00||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 12:53:00+00|1013.60|52.00|KFRG|0.60|Fair|360.00|North|10.40|-4.00||
-8.30|40.734430|Farmingdale - Republic Airport  NY|-73.416390|2024-02-05 12:53:00+00|1013.60|52.00|KFRG|0.60|Fair|360.00|North|10.40|-4.00||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-01-14 10:51:00+00|1011.30|50.00|KLGA|1.10|A Few Clouds|240.00|Southwest|13.80|-4.00||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-04 18:51:00+00|1014.00|34.00|KLGA|6.70|A Few Clouds|360.00|North|17.30|8.10||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-04 18:51:00+00|1014.00|34.00|KLGA|6.70|A Few Clouds|360.00|North|17.30|8.10||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-04 18:51:00+00|1014.00|34.00|KLGA|6.70|A Few Clouds|360.00|North|17.30|8.10||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-05 16:51:00+00|1013.80|41.00|KLGA|3.90|Fair|360.00|North|-1.00||12.70|
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-05 16:51:00+00|1013.80|41.00|KLGA|3.90|Fair|360.00|North|-1.00||12.70|
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-05 16:51:00+00|1013.80|41.00|KLGA|3.90|Fair|360.00|North|-1.00||12.70|
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 21:51:00+00|1022.50|38.00|KLGA|5.00|Fair|10.00|North|8.10|2.00||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 21:51:00+00|1022.50|38.00|KLGA|5.00|Fair|10.00|North|8.10|2.00||
-8.30|40.779170|New York  La Guardia Airport  NY|-73.880000|2024-02-06 21:51:00+00|1022.50|38.00|KLGA|5.00|Fair|10.00|North|8.10|2.00||
-8.30|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-01-06 05:56:00+00|1022.60|72.00|KISP|-3.90|Fair|0.00|North|0.00|||
-8.30|40.793890|Islip  Long Island Mac Arthur Airport  NY|-73.101670|2024-01-06 05:56:00+00|1022.60|72.00|KISP|-3.90|Fair|0.00|North|0.00|||
